Navn,Antal
ALIYAH,191
ANGELICA,191
GUNNA,191
MERCEDES,191
HACER,190
JANINA,190
SIHAM,190
BENDE,189
ELHAM,189
HANIN,189
NESRIN,189
BILLIE,188
CHIARA,188
LILLIE,188
NAWAL,188
SANNIE,188
ANNABELLE,187
MAJ-BRIT,187
NOOMI,187
VIOLETA,187
ZANDRA,187
RAMONA,186
CATJA,185
IDUN,185
MARGITH,185
MEDINE,185
SAMIA,185
ABIGAIL,184
CATARINA,184
CINDIE,184
ESME,184
WENDY,184
ANTONINA,183
ASIA,183
NANNY,183
NETHE,183
YELYZAVETA,183
SANJA,182
ANAYA,181
BETHINA,181
EBRU,181
EMMELY,181
KARIMA,181
LOA,181
MARZENA,181
NOELLE,181
SALWA,181
SUMAYA,181
WERONIKA,181
WIVI,181
ANNE-KATHRINE,180
ASYA,180
EDINA,180
JULIANA,180
SADIA,180
DILAN,179
EVI,179
GRAZYNA,179
HÜLYA,179
ELIA,178
MIRELA,178
IEVA,177
DANIA,176
ANN-SOPHIE,175
BERTA,175
ANNITTA,174
MARIA-LOUISE,174
ÖZLEM,174
KÄTE,172
MARGARITA,172
MIKA,172
YASMINA,172
DENICE,171
HALIME,170
MICHELL,170
ALEYNA,169
SAMAR,169
ABIR,168
TORA,168
ENYA,167
HEIKE,167
KIRSTI,167
LARISA,167
SEVIM,167
AJLA,166
NICOLETA,166
ANETT,165
DEBORAH,165
DINNA,165
KATHLEEN,165
NIKOLA,165
SHIRIN,165
ZAHRAA,165
ASHA,164
GALINA,164
SANELA,164
SONGÜL,164
ANNA-SOFIE,163
KÜBRA,163
PETREA,162
ROSALINA,162
SHILA,162
TUGBA,162
ANNICA,161
EMMALIE,161
IBI,161
NASRIN,161
PI,161
REEM,161
AMAYA,160
ANNITA,160
ARIANA,160
ASIYA,160
CHARLIE,160
KORNELIA,160
SHARON,160
THUY,160
ADELINA,159
JOYCE,159
LILIIA,159
NELLI,159
SUZETTE,159
IREM,158
KATHRIN,158
FARIDA,157
GUNILLA,157
HILAL,157
MARITA,157
SIMA,157
BOZENA,156
DALAL,156
DIANE,156
EDDA,156
AMELA,155
ANNETT,155
AYAT,155
CEMILE,155
HAFSA,155
HALINA,155
YARA,155
FILIZ,154
KIMIE,154
METTE-MARIE,154
NATALIYA,154
NATHALIA,154
SABAH,154
AYAN,153
EILEEN,153
EMILIJA,153
JANNA,153
PAMELA,153
SERIFE,153
VILJE,153
ARINA,152
BINE,152
SUS,152
ZELINA,152
LIANE,151
LUKA,151
RASHA,151
SAFIYA,151
SUSSE,151
TÜRKAN,151
EDITA,150
KELLY,150
MARIYA,150
SELENA,150
TIA,150
URSZULA,150
AMNA,149
AVIAYA,149
INGVILD,149
MA,149
MAGDALENE,149
MARYAN,149
MIRANDA,149
VIRGINIA,149
ANNE-MARGRETHE,148
ELIFE,148
HAYAT,148
ISRAA,148
KATIA,148
LILL,148
ROZA,148
SAIMA,148
UNNI,148
VESNA,148
MARGRETE,147
SIDRA,147
SOUAD,147
SUZANA,147
SØRINE,147
LATIFA,146
LITA,146
LUCIE,146
THALIA,146
GUNDA,145
NATHJA,145
RAYAN,145
SINEM,145
CHRISTINNA,144
FRIEDA,144
GABRIELLE,144
MELIKA,144
TEODORA,144
ALEXIA,143
BERIVAN,143
COCO,143
DONNA,143
MALAIKA,143
SANAA,143
AMILIA,142
ANNABEL,142
AYNUR,142
GITA,142
KIMBERLY,142
NATHALI,142
NOURA,142
SAIDA,142
SENADA,142
EMAN,141
RASA,141
ROXANA,141
SHAZIA,141
WAFAA,141
AYESHA,140
JOSEFINA,140
NGOC,139
ELIANA,138
FAIZA,138
FREYJA,138
HIRA,138
MELINDA,138
RAWAN,138
SABRINE,138
YUSRA,138
BETINNA,137
CHANEL,137
KIRSA,137
AGATHE,136
ARYA,136
IULIIA,136
LILIA,136
ASLI,135
EMELY,135
FRANZISKA,135
LIYA,135
MANON,135
RØSKVA,135
SINA,135
BERFIN,134
ISRA,134
MELIHA,134
NETTE,134
WANDA,134
YEVHENIIA,134
HEDDA,133
LEEN,133
PAOLA,133
STEFANIA,133
TASNIM,133
AVIN,132
BETÜL,132
JOANA,132
PENELOPE,132
SADAF,132
SALINA,132
ZIA,132
INAYA,131
LAYAN,131
MARY-ANN,131
NATHASJA,131
SEVDA,131
SEVGI,131
AHLAM,130
AYSEL,130
BEATRIZ,130
GAMZE,130
GRETHA,130
MARLENA,130
MERAL,130
MICHA,130
BJÖRK,129
DINAH,129
EDYTA,129
FATEN,129
LI,129
LUA,129
SABA,129
VIRA,129
YASMINE,129
CELESTE,128
ADELA,127
AMRA,127
APRIL,127
CAROLA,127
FLORENCE,127
HILDUR,127
LEISE,127
MONNA,127
NOMI,127
SEMA,127
SHERIN,127
SILVANA,127
ANN-KATRINE,126
AYTEN,126
JUDIT,126
KONNY,126
LEONA,126
MANAR,126
SUSANA,126
HENNI,125
JAMILLA,125
JAQUELINE,125
MAGNA,125
REGINE,125
FLORENTINA,124
GHADA,124
JUSTINE,124
RENÉE,124
SHIRLEY,124
AMELIE,123
ANKE,123
EMBLA,123
HONG,123
LORENA,123
MARCELA,123
NUR,123
SEMRA,123
TETYANA,123
VILDA,123
ZARAH,123
BRENDA,122
NADIN,122
SENA,122
SIGRUN,122
TASJA,122
TIFFANY,122
TONNI,122
ALENA,121
HODA,121
MAJBRITH,121
TURID,121
UTE,121
WENCHE,121
ZLATA,121
BRITHA,120
CYNTHIA,120
GLENNIE,120
JING,120
MAUD,120
NAJAT,120
YING,120
JULIET,119
MILEY,119
RUKIYE,119
SEHER,119
ANNE-BIRGITTE,118
ANNELIE,118
AZIZA,118
CARIN,118
ENISA,118
HANNELORE,118
JUSTINA,118
JYTTA,118
MARI-ANN,118
MIKELA,118
NIDA,118
RAMA,118
SALLI,118
SYEDA,118
YILDIZ,118
BEA,117
BEYZA,117
HABIBA,117
HANAA,117
MADDIE,117
SERPIL,117
ULRIKE,117
ADDA,116
ALEX,116
ALINE,116
ANINA,116
BATOUL,116
ETHEL,116
IONELA,116
JACKIE,116
NAJMA,116
OANA,116
SCARLETT,116
ZINA,116
CANAN,115
DESIREE,115
DITTE-MARIE,115
GÜLÜZAR,115
JIHAN,115
LIYANA,115
NEDA,115
PINAR,115
RAQUEL,115
SHAM,115
BRITH,114
FLEUR,114
PHUONG,114
SABRIN,114
SALLIE,114
YAN,114
YEVA,114
ALLIE,113
ANASTACIA,113
ANTJE,113
CILJE,113
DANIJELA,113
EVIE,113
JENSINE,113
LUDMILA,113
TONNY,113
AURELIA,112
BÜSRA,112
ELENI,112
HAMIDA,112
HODAN,112
JURGITA,112
MADALINA,112
MARA,112
NABILA,112
RITHA,112
VANJA,112
WIOLETTA,112
DENISA,111
MELODY,111
MIKAELA,111
NIKOLINA,111
RAHMA,111
RIA,111
RUTA,111
SAMINA,111
VALERIE,111
AMÉLIE,110
ASHLEY,110
DRAGANA,110
ELSEMARIE,110
GORDANA,110
HEVIN,110
JULIJA,110
MARÍA,110
NARIN,110
NILLE,110
RUBY,110
STEFFANIE,110
WICKI,110
ANIA,109
EDIT,109
EMEL,109
FILUCCA,109
FRANCISCA,109
IVALU,109
JENNA,109
KIRSTIN,109
KSENIIA,109
LAUREN,109
MALENA,109
MISCHA,109
SAMAH,109
SOFIJA,109
TASCHA,109
ALFRIDA,108
ANI,108
DARYNA,108
FADIA,108
ILAYDA,108
IQRA,108
NOEMI,108
RASMINE,108
SAWSAN,108
AUDREY,107
BIRGITHE,107
CAROL,107
FELINE,107
FERNANDA,107
JANICE,107
MIRNA,107
NATASIA,107
AALIYAH,106
ADINA,106
GLADYS,106
HAMIDE,106
KATALIN,106
LILA,106
MERRY,106
MILICA,106
MINE,106
MIRJANA,106
NATASA,106
SERAP,106
VIGDIS,106
ANNA-MARIA,105
ANNE-MERETE,105
AYSEGÜL,105
DIJANA,105
ELAINE,105
LIDA,105
SAKINA,105
ANASTASIJA,104
ARIFE,104
KICKI,104
ROSITA,104
ROYA,104
SUNA,104
SYNNØVE,104
VINI,104
AINA,103
EMMELINE,103
HAJAR,103
HANADI,103
LIDIIA,103
LUIZA,103
MAIDA,103
NERMIN,103
RIM,103
ROBIN,103
SELINE,103
TÜLAY,103
DESIRÉE,102
EGLE,102
FARZANA,102
GÜLAY,102
HAMDI,102
HAZAL,102
MIRSADA,102
NATJA,102
REBECKA,102
ROJIN,102
SELDA,102
VANILLA,102
ALESSIA,101
ALMIRA,101
BELMA,101
INGE-LIS,101
JUDI,101
NAN,101
NATALIJA,101
NIVI,101
YULIA,101
ZOÉ,101
ANNELINE,100
ARZU,100
ESMERALDA,100
MALU,100
NANETTE,100
NAZIA,100
SUSANN,100
TALA,100
TEREZA,100
VANDA,100
ZAKIA,100
HERTHA,99
IRMELIN,99
IVANNA,99
SEBRINA,99
SUMMER,99
SUSSANNE,99
ZAYNAB,99
ABEER,98
ALVILDE,98
ANCA,98
CAJSA,98
HOUDA,98
JANETTE,98
KAYLA,98
MARHARYTA,98
PHILINA,98
RANDA,98
SALIHA,98
YVETTE,98
ASMIN,97
ATHENE,97
BAYAN,97
CHRISTIN,97
DEBORA,97
FIDAN,97
FRIGGA,97
GIZEM,97
JEANNETT,97
NIA,97
PARISA,97
SHABNAM,97
SHAHNAZ,97
AMINE,96
CILIA,96
FRANCISKA,96
GANNA,96
GEMMA,96
HADIL,96
INEZ,96
NESLIHAN,96
PERIHAN,96
TABITHA,96
TALIA,96
ZUZANA,96
ALBINA,95
AYSHA,95
CAIA,95
GRITT,95
JANINE,95
KHRYSTYNA,95
LAN,95
MIRAY,95
NELE,95
SANDI,95
ZAHIDA,95
ALESSANDRA,94
BENDTE,94
BRIGITTA,94
ELSIE,94
ERLA,94
HAVVA,94
LARISSA,94
MAIKE,94
MARLIE,94
NAZLI,94
OLESIA,94
SAFAA,94
VARVARA,94
ZOYA,94
ADELE,93
AGNE,93
ALISON,93
DUNYA,93
EVE,93
GURI,93
JADWIGA,93
KIRI,93
LAMIA,93
MADICKEN,93
MARIETTE,93
MILLIE,93
RALUCA,93
SAMA,93
ANNE-CATHRINE,92
BABETTE,92
EMMI,92
FATIME,92
GEORGIANA,92
KATIE,92
KISS,92
MADISON,92
NIKA,92
NURAY,92
NURTEN,92
PRISCILLA,92
REGITSE,92
WINIE,92
YULIYA,92
ADILE,91
ANN-CHARLOTTE,91
ARENDSE,91
ASIYE,91
BENTA,91
BILJANA,91
GÜL,91
KIKKI,91
KRESTINE,91
KÆTHE,91
MALUCCA,91
MARIAH,91
MASCHA,91
STEFANI,91
TONIE,91
ALYA,90
ARIANNA,90
BENNY,90
DYVEKE,90
EJA,90
HAVIN,90
INDIRA,90
JANI,90
MITRA,90
SASKIA,90
TESS,90
ADRIANNA,89
AMILA,89
ANHELINA,89
ANNE-LENE,89
BIRKA,89
CHANTAL,89
