Navn,ANTAL
LINDBLAD,402
LÜTZEN,402
NØRAGER,402
INGEMANN,401
BAADSGAARD,400
BLICHFELDT,400
ROTH,400
SKOVBO,400
STAUSHOLM,400
GULDHAMMER,399
HASTRUP,399
KIEL,399
LAGONI,399
MYRUP,399
SCHEEL,399
SØEGAARD,399
VAMMEN,399
BORRE,398
EJSING,398
TYGESEN,398
UHRENHOLT,398
BOSERUP,397
INGERSLEV,397
VOGNSEN,397
FALCK,396
GAD,396
LODAHL,396
SUND,396
BIRKEDAL,395
JENSBY,395
RODE,395
TOFTE,395
HVAM,394
WILLADSEN,394
YANG,394
AASKOV,393
HINGE,393
SECILMIS,393
HÅKANSSON,392
MOLIN,392
OTHMAN,392
DOHN,391
EDVARDSEN,391
ELSBORG,391
HVIDTFELDT,391
KORNUM,391
REENBERG,391
SAHL,391
KASSEM,389
TERMANSEN,389
SØBORG,388
ABDO,387
MEINCKE,387
FLYVHOLM,386
GURUNG,386
MEHLSEN,386
HØJMARK,385
MILLING,385
SHARIF,385
OFFERSEN,384
THEILGAARD,384
WORSØE,384
YOUSSEF,384
BARFOD,383
BONDESEN,383
SHRESTHA,383
TANDRUP,383
BIRKHOLM,382
DEVECI,382
GASHI,382
HYLDAHL,382
KOYUNCU,382
SAUER,382
SPANGGAARD,382
SKIBSTED,381
BRØNNUM,380
JANTZEN,380
KAMPMANN,380
WILSON,380
AWAD,379
BRIXEN,379
HEDEMANN,379
MATTSSON,379
DEVANTIER,378
LUNDING,378
DOLLERUP,377
KONGSTAD,377
BIRKELUND,376
HØIER,376
ROSS,376
COSKUN,375
DYBDAHL,375
MERRILD,375
GALSGAARD,374
HORNSTRUP,374
THOLSTRUP,374
VIG,374
BERTRAM,373
ODDERSHEDE,373
WINDING,373
BARAN,372
ENGELL,372
GROVE,372
LANGVAD,372
ANKERSTJERNE,371
BAUNSGAARD,371
FRUERGAARD,371
GRAFF,371
HYTTEL,371
SOMMERLUND,371
SØBERG,371
RAMSING,370
SINDBERG,370
TRIER,370
UDSEN,370
FUTTRUP,369
KLAVSEN,369
NYEGAARD,369
ANKERSEN,368
CLEMENT,368
HEEGAARD,368
KASTBERG,367
DYHRBERG,366
FRØSLEV,366
FUGL,366
JUHLER,366
STENGAARD,366
TAYLOR,366
THOSTRUP,366
BORUM,365
CARLSON,365
KROHN,365
SANDGAARD,364
SKYUM,364
STJERNHOLM,364
BARSLUND,363
KALTOFT,363
LANGGAARD,363
NØRHOLM,363
PHAN,363
SCHÜTT,363
SKJOLDBORG,363
STAUN,363
THRYSØE,363
ØSTER,363
FRIBORG,362
LØNBORG,362
MANDRUP,362
NAGEL,362
STISEN,362
ABDALLAH,361
KEKEC,361
SKAU,361
BIBI,360
BODILSEN,360
EBDRUP,360
FRIEDRICHSEN,360
GYLLING,360
SCHWARZ,360
STARUP,360
VELLING,360
AGERGAARD,359
ASLAM,359
SABROE,359
THULSTRUP,359
FRIMANN,358
HEBSGAARD,358
RIISGAARD,358
AMMITZBØLL,357
DALUM,357
HOLMEGAARD,357
HØJEN,357
VANDBORG,356
VISSING,356
AARESTRUP,355
DAHLMANN,355
LYNGHOLM,355
TAS,355
BOMHOLT,354
GODIKSEN,354
KÆRGAARD,354
LUNDQUIST,354
MOHAMMADI,354
SCHUBERT,354
SULAIMAN,354
BENNETZEN,353
BLÆSBJERG,353
FRAHM,353
KOC,353
QVISTGAARD,353
SØLVSTEN,353
WISSING,352
FLENSBORG,351
FRØSIG,351
MERTZ,351
FRANTZEN,350
GRØNNE,350
JONASSON,350
KUMAR,350
RUBY,350
SIMSEK,350
÷ZCAN,350
BJØRKLUND,349
CLEMENSEN,349
ARENTOFT,348
BLACH,348
HASS,348
LUNDBY,348
PLESNER,348
RIISAGER,348
SANDHOLM,348
SKOVDAL,348
TAHA,348
TYCHSEN,348
VOGT,348
GRANN,347
KRAFT,347
RISOM,347
FOGTMANN,346
HAMAD,346
ILLUM,346
KYHL,346
MULVAD,346
OKHOLM,346
VENG,346
YÜKSEL,346
HJERRILD,345
HUUS,345
STRANDGAARD,345
SØDERBERG,345
TRUONG,345
LINDQUIST,344
BAKER,343
BOHN,343
RYSGAARD,343
SKOTTE,343
BERGHOLDT,342
FRYDENLUND,342
HANGAARD,342
SEJR,342
WENDELBOE,342
KLEIST,341
PIND,341
PLUM,341
SCHILLING,341
GJELSTRUP,340
HAGEDORN,340
SOLBERG,340
TOUGAARD,340
HOLMEN,339
KAUFMANN,339
BERNER,338
GLAD,338
BALLEGAARD,337
FREDENSBORG,337
KOUSGAARD,337
LINNEMANN,336
MARKVARDSEN,336
MATHISEN,336
SCHLÜTER,336
TOFTEGAARD,336
BROHOLM,335
GLEERUP,335
HEIDEMANN,335
KLINGENBERG,335
FABRIN,334
FOLKMANN,334
GOSVIG,334
HØYBYE,334
JUNCKER,334
SVARRER,334
SPARRE,333
WALLIN,333
XU,333
KLARSKOV,332
KONGSGAARD,332
KVISTGAARD,332
THAARUP,332
ELIASSEN,331
GODTFREDSEN,331
GROSEN,331
KJELGAARD,331
POPA,331
SIGAARD,331
ISAGER,330
STENBERG,330
WEDEL,330
WESTPHAL,330
BROCK,329
LØGSTRUP,329
RICHARDT,329
BOE,328
LEVIN,328
OTZEN,328
SKOVMAND,328
BØRRESEN,327
HARTUNG,327
SEEBERG,327
ABDULLAHI,326
BROK,326
BIE,325
BREINHOLT,325
HESS,325
SJØGREN,325
BRINKMANN,324
FRØKJÆR,324
GODSKESEN,324
KRUUSE,324
LYCK,324
EVERS,323
KALLESTRUP,323
KARIM,323
NYBY,323
SANDHOLDT,323
SVEJSTRUP,323
BØJE,322
ENGELHARDT,322
MAURITZEN,322
NOE,322
PIIL,322
PLOUGMANN,322
SCHNOOR,322
BASODA,321
BORGSTRØM,321
FELDT,321
GULDMANN,321
SCHELDE,321
HENRICHSEN,320
KOLIND,320
MARIAGER,320
MÅRTENSSON,320
SKOVLUND,320
BADEN,319
BAGGESEN,319
GAMBORG,319
GREISEN,319
KIBSGAARD,319
MONBERG,319
SODE,319
AAMAND,318
DO,318
NORDAHL,318
NYKJÆR,318
PALUDAN,318
PEITERSEN,318
RYDAHL,318
UDENGAARD,318
COLDING,317
GADEBERG,317
GUDMUNDSSON,317
SCHYTTE,317
ASHRAF,316
FAURHOLT,316
FLEISCHER,316
HOLMSTRØM,316
JAHN,316
LIE,316
MIRZA,316
RAHIMI,316
UTH,316
BONNESEN,315
HANNIBAL,315
LINNEBJERG,315
PRÆSTEGAARD,315
VO,315
AL-BADRI,314
FAABORG,314
MORELL,314
ROSENKVIST,314
EGEBJERG,313
KØSTER,313
ROSENQVIST,313
ROOS,312
ROTHMANN,312
STAUGAARD,312
VASE,312
BENDER,311
GRAAE,311
KAPLAN,311
KOUSTRUP,311
ROSENGREN,311
STUHR,311
GYDESEN,310
SCHJØTT,310
EGGERTSEN,309
ENGELUND,309
GARDE,309
THORN,309
BAHNSEN,308
BORRING,308
BURMEISTER,308
DIETZ,308
ERBS,308
KLINDT,308
LUNDIN,308
RUDBECK,308
BACHE,307
BRENDSTRUP,307
ERDEM,307
ERNSTSEN,307
HAGEMANN,307
MOE,307
OPSTRUP,307
THORNING,307
BØGE,306
KJØLBY,306
MÆRSK,306
AUTZEN,305
BACK,305
BÆRENTZEN,305
BØTTCHER,305
FRAUSING,305
NØRTOFT,305
VEJE,305
BERGGREEN,304
BOUTRUP,304
LUNDHOLM,304
LYSTER,304
MALM,304
PREHN,304
RØN,304
BARRETT,303
BONDERUP,303
BRAMMER,303
HAGELSKJÆR,303
HØJSGAARD,303
ILSØE,303
KJEMS,303
VALBJØRN,303
ØLAND,303
AAKJÆR,302
AASTRUP,302
BRØCHNER,302
EKELUND,302
HENTZE,302
LIPPERT,302
LYSDAL,302
ROSENVINGE,302
AHM,301
